binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	pre_saturation	discovery	20	2	16.608280	15.502783	14.516753	insufficient_order_stat_support	16.500772	16.653106	0.009172	15.700145	17.032841	1.084884	converged	
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	pre_saturation	combined	20	2	16.608280	15.502783	14.516753	insufficient_order_stat_support	16.500772	16.653106	0.009172	15.700145	17.032841	1.084884	converged	
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	pre_saturation	discovery	20	2	17.956197	16.909301	16.149956	insufficient_order_stat_support	17.630278	18.994074	0.075951	17.228109	20.023267	1.162244	converged	p50_ci_width_0.0760_gt_0.0300;p80_p20_1.1622_gt_1.1500
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	pre_saturation	combined	20	2	17.956197	16.909301	16.149956	insufficient_order_stat_support	17.630278	18.994074	0.075951	17.228109	20.023267	1.162244	converged	p50_ci_width_0.0760_gt_0.0300;p80_p20_1.1622_gt_1.1500
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	4	pre_saturation	discovery	20	2	19.446584	18.086656	17.859945	insufficient_order_stat_support	19.237126	19.745217	0.026127	18.583744	20.283409	1.091460	converged	
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	4	pre_saturation	combined	20	2	19.446584	18.086656	17.859945	insufficient_order_stat_support	19.237126	19.745217	0.026127	18.583744	20.283409	1.091460	converged	
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	discovery	20	2	20.705222	17.672635	9.238581	insufficient_order_stat_support	20.535010	20.894672	0.017371	19.207053	21.079635	1.097494	converged	outliers_2
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	combined	20	2	20.705222	17.672635	9.238581	insufficient_order_stat_support	20.535010	20.894672	0.017371	19.207053	21.079635	1.097494	converged	outliers_2
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	discovery	20	2	19.866331	10.477606	10.397961	insufficient_order_stat_support	19.602335	20.167731	0.028460	11.285708	20.911263	1.852898	converged	p80_p20_1.8529_gt_1.1500
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	combined	20	2	19.866331	10.477606	10.397961	insufficient_order_stat_support	19.602335	20.167731	0.028460	11.285708	20.911263	1.852898	converged	p80_p20_1.8529_gt_1.1500
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	discovery	20	2	10.866775	10.559275	10.163323	insufficient_order_stat_support	10.819823	10.866775	0.004321	10.662431	11.196092	1.050051	converged	
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	1	baseline_1c1s+pre_saturation	combined	20	2	10.866775	10.559275	10.163323	insufficient_order_stat_support	10.819823	10.866775	0.004321	10.662431	11.196092	1.050051	converged	
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	pre_saturation	discovery	20	2	17.997414	17.229044	16.239146	insufficient_order_stat_support	17.655020	19.080289	0.079193	17.324959	19.961458	1.152179	converged	p50_ci_width_0.0792_gt_0.0300;p80_p20_1.1522_gt_1.1500
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	2	pre_saturation	combined	20	2	17.997414	17.229044	16.239146	insufficient_order_stat_support	17.655020	19.080289	0.079193	17.324959	19.961458	1.152179	converged	p50_ci_width_0.0792_gt_0.0300;p80_p20_1.1522_gt_1.1500
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	pre_saturation	discovery	20	2	20.136122	19.122915	18.978786	insufficient_order_stat_support	19.550731	20.398640	0.042109	19.251704	20.709386	1.075717	converged	p50_ci_width_0.0421_gt_0.0300
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	3	pre_saturation	combined	20	2	20.136122	19.122915	18.978786	insufficient_order_stat_support	19.550731	20.398640	0.042109	19.251704	20.709386	1.075717	converged	p50_ci_width_0.0421_gt_0.0300
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	4	pre_saturation	discovery	20	2	20.767354	19.784878	18.899615	insufficient_order_stat_support	20.760939	20.850504	0.004313	20.325693	21.537154	1.059602	converged	
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	4	pre_saturation	combined	20	2	20.767354	19.784878	18.899615	insufficient_order_stat_support	20.760939	20.850504	0.004313	20.325693	21.537154	1.059602	converged	
