binary	scenario	network	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	stream_churn	iouring	2	streams_per_second	combined	20	4	59081.864287	58441.954709	59679.044249	0.020939	57973.219307	59896.256528	1.033171	60033.994308	60714.123124	insufficient_order_stat_support	0.013983	1.023628	0.002768	0.297528	0	ready	-
lsperf	stream_churn	iouring	3	streams_per_second	discovery	20	4	59923.401869	59284.492938	60416.198021	0.018886	59018.714276	60700.329440	1.028493	62588.080774	69550.891641	insufficient_order_stat_support	0.013505	1.022568	0.002121	-0.097533	0	ready	-
lsperf	stream_churn	iouring	3	streams_per_second	combined	20	4	59923.401869	59284.492938	60416.198021	0.018886	59018.714276	60700.329440	1.028493	62588.080774	69550.891641	insufficient_order_stat_support	0.013505	1.022568	0.002121	-0.097533	0	ready	-
lsperf	stream_churn	iouring	4	streams_per_second	discovery	35	7	60400.866216	60234.596105	60770.496304	0.008872	59505.311344	60890.892010	1.023285	69667.201863	70377.717775	insufficient_order_stat_support	0.008729	1.176094	-0.002738	-0.309717	5	not_ready_high_variance	block_median_ratio_1.1761_gt_1.1000;outliers_5;severe_outlier_blocks_3_gte_2
lsperf	stream_churn	iouring	4	streams_per_second	combined	35	7	60400.866216	60234.596105	60770.496304	0.008872	59505.311344	60890.892010	1.023285	69667.201863	70377.717775	insufficient_order_stat_support	0.008729	1.176094	-0.002738	-0.309717	5	not_ready_high_variance	block_median_ratio_1.1761_gt_1.1000;outliers_5;severe_outlier_blocks_3_gte_2
lsperf	stream_churn	syscall	1	streams_per_second	discovery	20	4	188558.315829	187840.590485	189522.279278	0.008919	187718.383801	189647.974291	1.010279	190112.453273	199302.934317	insufficient_order_stat_support	0.004572	1.012281	-0.001659	0.123304	0	ready	-
lsperf	stream_churn	syscall	1	streams_per_second	combined	20	4	188558.315829	187840.590485	189522.279278	0.008919	187718.383801	189647.974291	1.010279	190112.453273	199302.934317	insufficient_order_stat_support	0.004572	1.012281	-0.001659	0.123304	0	ready	-
lsperf	stream_churn	syscall	2	streams_per_second	discovery	20	4	223367.851029	221181.211391	226658.723914	0.024522	220275.157206	226902.146977	1.030085	228330.581305	229834.873483	insufficient_order_stat_support	0.013782	1.026476	0.016839	0.038707	0	ready	-
lsperf	stream_churn	syscall	2	streams_per_second	combined	20	4	223367.851029	221181.211391	226658.723914	0.024522	220275.157206	226902.146977	1.030085	228330.581305	229834.873483	insufficient_order_stat_support	0.013782	1.026476	0.016839	0.038707	0	ready	-
lsperf	stream_churn	syscall	3	streams_per_second	discovery	40	8	237702.845514	234684.540610	239941.214402	0.022114	233818.291909	240354.157417	1.027953	267056.521768	271986.951775	insufficient_order_stat_support	0.011070	1.153589	-0.005158	0.498666	0	not_ready_high_variance	block_median_ratio_1.1536_gt_1.1000;persistent_block_median_ratio_recent_1.1536_gt_1.1000
lsperf	stream_churn	syscall	3	streams_per_second	combined	40	8	237702.845514	234684.540610	239941.214402	0.022114	233818.291909	240354.157417	1.027953	267056.521768	271986.951775	insufficient_order_stat_support	0.011070	1.153589	-0.005158	0.498666	0	not_ready_high_variance	block_median_ratio_1.1536_gt_1.1000;persistent_block_median_ratio_recent_1.1536_gt_1.1000
