binary	scenario	network	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
quicheperf	close_reset_cleanup	iouring	streams_per_second	1	1	2	1.000000	78221.487649	78221.487649	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.1075_gt_0.0500;block_median_ratio_1.1408_gt_1.1000;drift_0.1023_gt_0.0300;severe_drift_0.1023_gt_0.0800
quicheperf	close_reset_cleanup	syscall	streams_per_second	1	1	2	1.000000	87174.057428	87174.057428	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.0902_gt_0.0500;p80_p20_1.1697_gt_1.1500;block_median_ratio_1.1369_gt_1.1000;drift_0.0594_gt_0.0300;persistent_block_median_ratio_recent_1.1226_gt_1.1000;persistent_p80_p20_recent_1.1705_gt_1.1500;persistent_drift_0.0594_gt_0.0300
quicheperf	connect	iouring	connections_per_second	1	1	2	1.000000	1227.558252	1227.558252	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t2:p50_ci_width_0.1188_gt_0.0500;p80_p20_1.3504_gt_1.1500;block_median_ratio_1.2457_gt_1.1000;drift_0.0538_gt_0.0300;persistent_block_median_ratio_recent_1.2283_gt_1.1000;persistent_p80_p20_recent_1.3635_gt_1.1500;persistent_drift_0.0538_gt_0.0300
quicheperf	connect	syscall	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1318_gt_0.0500;p80_p20_1.2176_gt_1.1500;block_median_ratio_1.1672_gt_1.1000;drift_0.1540_gt_0.0300;severe_drift_0.1540_gt_0.0800
quicheperf	download	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0595_gt_0.0300;drift_-0.0529_gt_0.0300;persistent_drift_-0.0529_gt_0.0300
quicheperf	download	syscall	throughput_gbps	2	2	3	1.000000	8.322591	8.322591	1.000000	1.000000	1.000000	0	not_ready	not_ready	sentinels_0_lt_2;t3:drift_0.0315_gt_0.0300;persistent_drift_0.0315_gt_0.0300
quicheperf	flow_control	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0664_gt_0.0500;block_median_ratio_1.2350_gt_1.1000;outliers_6;severe_outlier_blocks_3_gte_2
quicheperf	flow_control	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:outliers_3;severe_outlier_blocks_3_gte_2
quicheperf	loss_recovery	iouring	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1279_gt_0.0800;p80_p20_1.2023_gt_1.1500;block_median_ratio_1.2043_gt_1.1000;drift_0.0801_gt_0.0300;severe_drift_0.0801_gt_0.0800
quicheperf	loss_recovery	syscall	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1290_gt_0.0800;p80_p20_1.1929_gt_1.1500;block_median_ratio_1.1901_gt_1.1000;drift_-0.0895_gt_0.0300;severe_drift_-0.0895_gt_0.0800
