scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
bidi	syscall	loopback	throughput_gbps	ngtcp2perf	xquicperf	19.950268	2.399387	8.314737	8.207838	8.455251	win
bidi	syscall	loopback	throughput_gbps	noqperf	picoperf	3.593724	5.662375	0.634667	0.626523	0.649810	loss
bidi	syscall	loopback	throughput_gbps	noqperf	quicheperf	3.593724	11.215272	0.320431	0.319591	0.323526	loss
bidi	syscall	loopback	throughput_gbps	noqperf	quiczigperf	3.593724	9.986950	0.359842	0.358898	0.362897	loss
bidi	syscall	loopback	throughput_gbps	noqperf	quinnperf	3.593724	4.154819	0.864953	0.861539	0.872277	loss
bidi	syscall	loopback	throughput_gbps	noqperf	s2nperf	3.593724	5.444185	0.660103	0.650881	0.681000	loss
bidi	syscall	loopback	throughput_gbps	noqperf	tquicperf	3.593724	8.769929	0.409778	0.389549	0.421295	loss
bidi	syscall	loopback	throughput_gbps	noqperf	xquicperf	3.593724	2.399387	1.497768	1.480871	1.520180	win
bidi	syscall	loopback	throughput_gbps	picoperf	quicheperf	5.662375	11.215272	0.504881	0.497261	0.510736	loss
bidi	syscall	loopback	throughput_gbps	picoperf	quiczigperf	5.662375	9.986950	0.566977	0.558420	0.572888	loss
bidi	syscall	loopback	throughput_gbps	picoperf	quinnperf	5.662375	4.154819	1.362845	1.340492	1.377024	win
bidi	syscall	loopback	throughput_gbps	picoperf	s2nperf	5.662375	5.444185	1.040078	1.012724	1.075063	win
bidi	syscall	loopback	throughput_gbps	picoperf	tquicperf	5.662375	8.769929	0.645658	0.606111	0.665079	loss
bidi	syscall	loopback	throughput_gbps	picoperf	xquicperf	5.662375	2.399387	2.359926	2.304130	2.399839	win
bidi	syscall	loopback	throughput_gbps	quicheperf	quiczigperf	11.215272	9.986950	1.122993	1.121599	1.123085	win
bidi	syscall	loopback	throughput_gbps	quicheperf	quinnperf	11.215272	4.154819	2.699341	2.692409	2.699505	win
