binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	publication_role	discovery_status	confirm_status	combined_status	combined_samples	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	combined_p20_p80_ratio	publication_status	reason
lsperf	stream_churn	iouring	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	90202.955396	90004.293662	90401.617130	0.004405	1.002646	converged	blocks_1_lt_2;samples_2_lt_20;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	stream_churn	syscall	loopback	lifecycle	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	177669.911515	177541.487319	177798.335710	0.001446	1.000868	converged	blocks_1_lt_2;samples_2_lt_20;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	selected_saturation	converged	converged	converged	20	20.749546	20.749546	21.034015	0.013710	1.101693	converged	confirm_disabled
lsperf	upload	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	7	plateau_sentinel+post_selected	converged	converged	converged	20	20.558389	16.036578	20.865750	0.234900	1.663117	converged	p50_ci_width_0.2349_gt_0.0300;p80_p20_1.6631_gt_1.1500;block_median_ratio_1.3011_gt_1.1000;confirm_disabled;p50_ci_width_0.2349_gt_0.0300;p80_p20_1.6631_gt_1.1500;block_median_ratio_1.3011_gt_1.1000
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	22.930467	22.837423	23.069019	0.010100	1.122888	converged	confirm_disabled
lsperf	upload	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	converged	converged	converged	20	22.273980	21.255920	22.748216	0.066997	1.144182	converged	p50_ci_width_0.0670_gt_0.0300;confirm_disabled;p50_ci_width_0.0670_gt_0.0300
lsperf	zero_rtt_reqresp	iouring	loopback	capability	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	requests_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	8679.569694	8662.882775	8696.256614	0.003845	1.002310	converged	blocks_1_lt_2;samples_2_lt_20;capability_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
lsperf	zero_rtt_reqresp	syscall	loopback	capability	0	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	requests_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	78713.123591	9661.854620	147764.392562	1.754505	3.222540	converged	blocks_1_lt_2;samples_2_lt_20;p80_p20_3.2225_gt_1.1500;capability_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20;p80_p20_3.2225_gt_1.1500
mvfstperf	bidi	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	7	selected_saturation+plateau_sentinel	converged	converged	converged	20	6.874085	6.859566	6.909617	0.007281	1.028274	converged	confirm_disabled
mvfstperf	bidi	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	5	selected_saturation	converged	converged	converged	20	7.106621	7.071233	7.168741	0.013721	1.040899	converged	confirm_disabled
mvfstperf	bidi	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	throughput_gbps	6	plateau_sentinel+post_selected	converged	converged	converged	20	7.061563	7.038597	7.098844	0.008532	1.017345	converged	confirm_disabled
mvfstperf	close_reset_cleanup	iouring	loopback	lifecycle	0	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	5404.044733	5355.883416	5452.206050	0.017824	1.010752	converged	blocks_1_lt_2;samples_2_lt_20;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
mvfstperf	close_reset_cleanup	syscall	loopback	lifecycle	0	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	streams_per_second	1	baseline_1c1s+selected_saturation+plateau_sentinel	not_ready	converged	not_ready	2	5082.850350	5078.478663	5087.222036	0.001720	1.001033	converged	blocks_1_lt_2;samples_2_lt_20;lifecycle_tier_smoke_only;blocks_1_lt_2;samples_2_lt_20
mvfstperf	connect	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	connections_per_second	13	selected_saturation	converged	converged	converged	20	996.768018	966.143370	1005.690248	0.039675	1.063782	converged	confirm_disabled
mvfstperf	connect	iouring	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	connections_per_second	14	plateau_sentinel+post_selected	converged	converged	converged	20	986.799603	980.965284	996.252060	0.015491	1.037194	converged	confirm_disabled
mvfstperf	connect	syscall	loopback	publication	1	cc=cubic|cpp_networkhub=on|socket=quic_async_udp_adapter|folly_eventbase=manual|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=on	cubic	connections_per_second	13	selected_saturation+plateau_sentinel	converged	converged	converged	20	953.178972	934.336066	957.333884	0.024127	1.166019	converged	p80_p20_1.1660_gt_1.1500;confirm_disabled;p80_p20_1.1660_gt_1.1500
