binary	scenario	network	path_profile	tier	publication_eligible	adapter_features	congestion_controller	metric	client_threads	curve_role	phase	samples	blocks	p50	p90	p99	p99_status	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	convergence_status	reason
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	14	pre_saturation	discovery	20	2	8368.442461	8096.865273	6560.689629	insufficient_order_stat_support	8330.494019	8406.919513	0.009133	8233.352811	8446.725608	1.025916	converged	outliers_1
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	14	pre_saturation	combined	20	2	8368.442461	8096.865273	6560.689629	insufficient_order_stat_support	8330.494019	8406.919513	0.009133	8233.352811	8446.725608	1.025916	converged	outliers_1
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	15	pre_saturation	discovery	20	2	8497.439325	8242.139397	7641.188028	insufficient_order_stat_support	8497.439325	8514.871870	0.002052	8294.886748	8652.353594	1.043095	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	15	pre_saturation	combined	20	2	8497.439325	8242.139397	7641.188028	insufficient_order_stat_support	8497.439325	8514.871870	0.002052	8294.886748	8652.353594	1.043095	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	16	pre_saturation	discovery	20	2	8730.786496	8322.533704	7857.604906	insufficient_order_stat_support	8695.859933	8740.422806	0.005104	8479.906170	8928.243595	1.052871	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	16	pre_saturation	combined	20	2	8730.786496	8322.533704	7857.604906	insufficient_order_stat_support	8695.859933	8740.422806	0.005104	8479.906170	8928.243595	1.052871	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	17	selected_saturation	discovery	20	2	8885.626414	8300.171184	7297.508345	insufficient_order_stat_support	8885.626414	8942.294966	0.006378	8484.723154	9717.225078	1.145261	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	17	selected_saturation	combined	20	2	8885.626414	8300.171184	7297.508345	insufficient_order_stat_support	8885.626414	8942.294966	0.006378	8484.723154	9717.225078	1.145261	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	18	plateau_sentinel+post_selected	discovery	20	2	8850.736930	8363.111432	8360.053514	insufficient_order_stat_support	8830.756258	8910.542245	0.009015	8617.318522	9078.617594	1.053532	converged	
lsperf	connect	iouring	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	18	plateau_sentinel+post_selected	combined	20	2	8850.736930	8363.111432	8360.053514	insufficient_order_stat_support	8830.756258	8910.542245	0.009015	8617.318522	9078.617594	1.053532	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	discovery	20	2	1396.954286	1176.195600	1124.631686	insufficient_order_stat_support	1386.536859	1403.716958	0.012298	1312.905806	1499.693247	1.142270	converged	
lsperf	connect	syscall	loopback	publication	1	cc=cubic|pacing=on|spin=on|ql_bits=2|ecn=off|pmtud=off|send_batch=50|udp_gso=common_cpp|udp_gro=on	cubic	connections_per_second	1	baseline_1c1s+pre_saturation	combined	20	2	1396.954286	1176.195600	1124.631686	insufficient_order_stat_support	1386.536859	1403.716958	0.012298	1312.905806	1499.693247	1.142270	converged	
