binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	datagram	syscall	loopback	2	datagrams_per_second	discovery	20	2	584388.796386	584388.796386	603095.496803	0.032011	75525.728637	1147349.092465	15.191500	75151.629465	74913.628782	insufficient_order_stat_support	0.871752	1.032011	0.000000	-0.017150	0	converged	p80_p20_15.1915_gt_1.1500
lsperf	datagram	syscall	loopback	2	datagrams_per_second	combined	20	2	584388.796386	584388.796386	603095.496803	0.032011	75525.728637	1147349.092465	15.191500	75151.629465	74913.628782	insufficient_order_stat_support	0.871752	1.032011	0.000000	-0.017150	0	converged	p80_p20_15.1915_gt_1.1500
lsperf	download	iouring	loopback	1	throughput_gbps	discovery	20	2	11.340348	11.233971	11.566011	0.029279	10.974203	11.776952	1.073149	10.908496	10.770814	insufficient_order_stat_support	0.032100	1.029557	0.000000	0.005936	0	converged	
lsperf	download	iouring	loopback	1	throughput_gbps	combined	20	2	11.340348	11.233971	11.566011	0.029279	10.974203	11.776952	1.073149	10.908496	10.770814	insufficient_order_stat_support	0.032100	1.029557	0.000000	0.005936	0	converged	
lsperf	download	iouring	loopback	2	throughput_gbps	discovery	20	2	4.382538	4.361885	4.401504	0.009040	4.102883	4.708319	1.147563	4.004738	3.619166	insufficient_order_stat_support	0.061335	1.009083	0.000000	-0.011271	0	converged	
lsperf	download	iouring	loopback	2	throughput_gbps	combined	20	2	4.382538	4.361885	4.401504	0.009040	4.102883	4.708319	1.147563	4.004738	3.619166	insufficient_order_stat_support	0.061335	1.009083	0.000000	-0.011271	0	converged	
lsperf	download	syscall	loopback	1	throughput_gbps	discovery	20	2	11.381341	11.216723	11.756309	0.047410	10.986331	12.971113	1.180659	10.857023	10.746490	insufficient_order_stat_support	0.044787	1.048105	0.000000	-0.021379	0	converged	p50_ci_width_0.0474_gt_0.0300;p80_p20_1.1807_gt_1.1500
lsperf	download	syscall	loopback	1	throughput_gbps	combined	20	2	11.381341	11.216723	11.756309	0.047410	10.986331	12.971113	1.180659	10.857023	10.746490	insufficient_order_stat_support	0.044787	1.048105	0.000000	-0.021379	0	converged	p50_ci_width_0.0474_gt_0.0300;p80_p20_1.1807_gt_1.1500
lsperf	download	syscall	loopback	2	throughput_gbps	discovery	20	2	4.681759	4.612628	4.793026	0.038532	4.387687	5.476148	1.248072	4.120626	3.765710	insufficient_order_stat_support	0.071759	1.039110	0.000000	0.240616	0	converged	p50_ci_width_0.0385_gt_0.0300;p80_p20_1.2481_gt_1.1500
lsperf	download	syscall	loopback	2	throughput_gbps	combined	20	2	4.681759	4.612628	4.793026	0.038532	4.387687	5.476148	1.248072	4.120626	3.765710	insufficient_order_stat_support	0.071759	1.039110	0.000000	0.240616	0	converged	p50_ci_width_0.0385_gt_0.0300;p80_p20_1.2481_gt_1.1500
lsperf	flow_control	iouring	loopback	1	throughput_gbps	discovery	20	2	8.823987	8.706535	8.895725	0.021440	8.647229	9.075126	1.049484	8.494191	8.419960	insufficient_order_stat_support	0.017808	1.021730	0.000000	0.309653	0	converged	
lsperf	flow_control	iouring	loopback	1	throughput_gbps	combined	20	2	8.823987	8.706535	8.895725	0.021440	8.647229	9.075126	1.049484	8.494191	8.419960	insufficient_order_stat_support	0.017808	1.021730	0.000000	0.309653	0	converged	
lsperf	flow_control	iouring	loopback	2	throughput_gbps	discovery	20	2	4.573976	4.368514	5.074580	0.154366	3.742349	5.954752	1.591180	3.669834	3.576093	insufficient_order_stat_support	0.176158	1.161626	0.000000	-0.299580	0	converged	p50_ci_width_0.1544_gt_0.0500;p80_p20_1.5912_gt_1.1500;block_median_ratio_1.1616_gt_1.1000
lsperf	flow_control	iouring	loopback	2	throughput_gbps	combined	20	2	4.573976	4.368514	5.074580	0.154366	3.742349	5.954752	1.591180	3.669834	3.576093	insufficient_order_stat_support	0.176158	1.161626	0.000000	-0.299580	0	converged	p50_ci_width_0.1544_gt_0.0500;p80_p20_1.5912_gt_1.1500;block_median_ratio_1.1616_gt_1.1000
