binary	scenario	network	path_profile	adapter_features	congestion_controller	publication_status	metric	selected_threads	best_threads	boundary_threads	discovery_p50	confirm_p50	combined_p50	combined_p50_ci95_low	combined_p50_ci95_high	combined_p50_ci95_relative_width	p90	p99	p99_status	selection_probability_within_tolerance	selected_vs_best_ratio	edge_status	reason
quicheperf	download	syscall	loopback	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0517_gt_0.0300;drift_-0.0489_gt_0.0300;persistent_drift_-0.0489_gt_0.0300
quicheperf	upload	iouring	loopback	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps	1	1		8.491639		8.491639	8.386433	8.638641	0.029701	7.828980	7.192559	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:block_median_ratio_1.1350_gt_1.1000;t1:missing_confirm_stats
quicheperf	upload	syscall	loopback	cc=cubic|migration=off|pmtud=off|max_windows=profile|udp_gso=common_cpp|udp_gro=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0410_gt_0.0300;block_median_ratio_1.1127_gt_1.1000;persistent_block_median_ratio_recent_1.1122_gt_1.1000
quiczigperf	connect	iouring	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.2402_gt_0.0500;p80_p20_1.3196_gt_1.1500;block_median_ratio_1.3889_gt_1.1000;drift_-0.1174_gt_0.0300;severe_block_median_ratio_1.3889_gt_1.2500;severe_drift_-0.1174_gt_0.0800
quiczigperf	connect	syscall	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	not_ready	connections_per_second	1	1		1075.482757		1075.482757	1069.686892	1085.148334	0.014376	893.490189	789.748665	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.1879_gt_0.0500;p80_p20_1.2903_gt_1.1500;block_median_ratio_1.3407_gt_1.1000;severe_block_median_ratio_1.3407_gt_1.2500;t1:missing_confirm_stats
quiczigperf	download	iouring	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	not_ready	throughput_gbps	1	1		8.552221		8.552221	8.503321	8.667827	0.019235	8.262411	8.190785	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t2:p50_ci_width_0.0704_gt_0.0300;block_median_ratio_1.1124_gt_1.1000;persistent_block_median_ratio_recent_1.1124_gt_1.1000;t1:missing_confirm_stats
quiczigperf	download	syscall	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0686_gt_0.0300;block_median_ratio_1.1402_gt_1.1000;drift_-0.0300_gt_0.0300;persistent_block_median_ratio_recent_1.1310_gt_1.1000;persistent_drift_-0.0300_gt_0.0300
quiczigperf	upload	iouring	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	ready	throughput_gbps	1	1	2	8.250918	8.133212	8.248596	8.131139	8.335197	0.024739	7.902862	7.627851	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.22pct_le_1.00pct
quiczigperf	upload	syscall	loopback	cc=cubic|bbr=unsupported|packet_api=quic-zig-connection|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none|pmtud=off|pacing=disabled|send_backpressure=stream_window|flow_window_clamp=64m|server_send_rr=on	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:block_median_ratio_1.1707_gt_1.1000
quinnperf	connect	iouring	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1687_gt_0.0500;p80_p20_1.2163_gt_1.1500;block_median_ratio_1.2860_gt_1.1000;drift_-0.1516_gt_0.0300;severe_block_median_ratio_1.2860_gt_1.2500;severe_drift_-0.1516_gt_0.0800
quinnperf	connect	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0839_gt_0.0500;p80_p20_1.2100_gt_1.1500;block_median_ratio_1.2046_gt_1.1000;persistent_block_median_ratio_recent_1.2046_gt_1.1000;persistent_p80_p20_recent_1.1915_gt_1.1500
quinnperf	download	iouring	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	throughput_gbps	2	2	3	6.807682	6.738046	6.775672	6.736604	6.907429	0.025212	6.666161	6.616054	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-2.65pct_le_1.00pct;t1:combined_warning_noisy;p50_ci_width_0.0374_gt_0.0300
quinnperf	download	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	throughput_gbps	2	2	3	7.100926	7.227189	7.111073	6.999735	7.219316	0.030879	6.851243	6.762370	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-1.04pct_le_1.00pct;t2:combined_warning_noisy;p50_ci_width_0.0309_gt_0.0300
quinnperf	upload	iouring	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	throughput_gbps													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.0380_gt_0.0300;drift_0.0330_gt_0.0300;persistent_drift_0.0330_gt_0.0300
quinnperf	upload	syscall	loopback	cc=cubic|sans_io=quinn-proto|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	ready	throughput_gbps	1	1	2	3.731922	3.700799	3.717975	3.696728	3.755232	0.015735	3.648924	3.587237	insufficient_order_stat_support	1.000000	1.000000	ok	incremental_improvement_-4.87pct_le_1.00pct
s2nperf	connect	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1142_gt_0.0500;p80_p20_1.1588_gt_1.1500;block_median_ratio_1.2136_gt_1.1000;drift_0.1264_gt_0.0300;severe_drift_0.1264_gt_0.0800
s2nperf	connect	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	connections_per_second													0.000000	0.000000	not_ready	no_ready_rows;t1:p50_ci_width_0.1419_gt_0.0500;p80_p20_1.2546_gt_1.1500;block_median_ratio_1.2438_gt_1.1000;drift_0.0893_gt_0.0300;severe_drift_0.0893_gt_0.0800
s2nperf	download	iouring	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	throughput_gbps	4	4		6.409969		6.409969	6.354558	6.475304	0.018837	6.312714	6.263169	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t5:p50_ci_width_0.0317_gt_0.0300;block_median_ratio_1.1245_gt_1.1000;outliers_1;persistent_outliers_1;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:missing_confirm_stats;t4:missing_confirm_stats
s2nperf	download	syscall	loopback	cc=cubic|manual_endpoint=s2n-quic|cpp_networkhub=on|udp_gso=common_cpp|udp_gro=on|runtime=none	cubic	not_ready	throughput_gbps	3	3		6.429073		6.429073	6.369615	6.490059	0.018734	6.256863	5.353820	insufficient_order_stat_support	1.000000	1.000000	not_ready	no_incremental_plateau;t4:p80_p20_1.2013_gt_1.1500;block_median_ratio_1.1663_gt_1.1000;outliers_4;severe_outlier_blocks_3_gte_2;t1:missing_confirm_stats;t2:missing_confirm_stats;t3:missing_confirm_stats
