binary	scenario	network	path_profile	metric	selected_threads	best_threads	boundary_threads	selection_probability_within_tolerance	best_p50	selected_p50	selected_vs_best_ratio	selected_vs_best_ci95_low	selected_vs_best_ci95_high	plateau_sentinel_count	edge_status	decision_status	reason
quinnperf	download	syscall	loopback	throughput_gbps	2	2	3	1.000000	7.100926	7.100926	1.000000	1.000000	1.000000	1	ok	ready	incremental_improvement_-1.04pct_le_1.00pct
quinnperf	upload	iouring	loopback	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0380_gt_0.0300;drift_0.0330_gt_0.0300;persistent_drift_0.0330_gt_0.0300
quinnperf	upload	syscall	loopback	throughput_gbps	1	1	2	1.000000	3.731922	3.731922	1.000000	1.000000	1.000000	1	ok	ready	incremental_improvement_-4.87pct_le_1.00pct
s2nperf	connect	iouring	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1142_gt_0.0500;p80_p20_1.1588_gt_1.1500;block_median_ratio_1.2136_gt_1.1000;drift_0.1264_gt_0.0300;severe_drift_0.1264_gt_0.0800
s2nperf	connect	syscall	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.1419_gt_0.0500;p80_p20_1.2546_gt_1.1500;block_median_ratio_1.2438_gt_1.1000;drift_0.0893_gt_0.0300;severe_drift_0.0893_gt_0.0800
s2nperf	download	iouring	loopback	throughput_gbps	4	4		1.000000	6.409969	6.409969	1.000000	1.000000	1.000000	0	not_ready	not_ready	no_incremental_plateau;t5:p50_ci_width_0.0317_gt_0.0300;block_median_ratio_1.1245_gt_1.1000;outliers_1;persistent_outliers_1
s2nperf	download	syscall	loopback	throughput_gbps	3	3		1.000000	6.429073	6.429073	1.000000	1.000000	1.000000	0	not_ready	not_ready	no_incremental_plateau;t4:p80_p20_1.2013_gt_1.1500;block_median_ratio_1.1663_gt_1.1000;outliers_4;severe_outlier_blocks_3_gte_2
s2nperf	upload	iouring	loopback	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0942_gt_0.0300;block_median_ratio_1.1645_gt_1.1000;drift_0.1093_gt_0.0300;severe_drift_0.1093_gt_0.0800
s2nperf	upload	syscall	loopback	throughput_gbps	2	2	3	1.000000	7.356824	7.356824	1.000000	1.000000	1.000000	1	ok	ready	incremental_improvement_-2.74pct_le_1.00pct
tcpperf	connect	iouring	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	unsupported	unsupported	tcp_tls_syscall_only
tcpperf	connect	syscall	loopback	connections_per_second				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	not_ready	not_ready	no_ready_rows;t1:p50_ci_width_0.0755_gt_0.0500;p80_p20_1.2202_gt_1.1500;block_median_ratio_1.2535_gt_1.1000;drift_0.0378_gt_0.0300;severe_block_median_ratio_1.2535_gt_1.2500
tcpperf	download	iouring	loopback	throughput_gbps				0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	unsupported	unsupported	tcp_tls_syscall_only
