binary	scenario	network	path_profile	client_threads	metric	phase	samples	blocks	median	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	mad_relative	block_median_ratio	drift_relative	lag1_autocorr	outlier_count	convergence_status	reason
lsperf	upload	iouring	loopback	3	throughput_gbps	discovery	45	9	13.129903	12.913578	13.432563	0.039527	12.823119	13.523666	1.054632	12.651268	12.207863	insufficient_order_stat_support	0.022875	1.074316	0.040393	0.132308	0	not_ready_high_variance	p50_ci_width_0.0395_gt_0.0300;drift_0.0404_gt_0.0300;persistent_drift_0.0404_gt_0.0300
lsperf	upload	iouring	loopback	3	throughput_gbps	combined	45	9	13.129903	12.913578	13.432563	0.039527	12.823119	13.523666	1.054632	12.651268	12.207863	insufficient_order_stat_support	0.022875	1.074316	0.040393	0.132308	0	not_ready_high_variance	p50_ci_width_0.0395_gt_0.0300;drift_0.0404_gt_0.0300;persistent_drift_0.0404_gt_0.0300
lsperf	upload	syscall	loopback	1	throughput_gbps	discovery	30	6	14.690732	13.565219	15.123124	0.106047	13.459331	15.485980	1.150576	13.258995	12.912972	insufficient_order_stat_support	0.071593	1.145823	0.089596	-0.007000	0	not_ready_high_variance	p50_ci_width_0.1060_gt_0.0300;p80_p20_1.1506_gt_1.1500;block_median_ratio_1.1458_gt_1.1000;drift_0.0896_gt_0.0300;severe_drift_0.0896_gt_0.0800
lsperf	upload	syscall	loopback	1	throughput_gbps	combined	30	6	14.690732	13.565219	15.123124	0.106047	13.459331	15.485980	1.150576	13.258995	12.912972	insufficient_order_stat_support	0.071593	1.145823	0.089596	-0.007000	0	not_ready_high_variance	p50_ci_width_0.1060_gt_0.0300;p80_p20_1.1506_gt_1.1500;block_median_ratio_1.1458_gt_1.1000;drift_0.0896_gt_0.0300;severe_drift_0.0896_gt_0.0800
mvfstperf	connect	iouring	loopback	1	connections_per_second	discovery	40	8	330.416253	317.815262	334.595650	0.050786	308.551128	342.752899	1.110846	298.216295	265.735643	insufficient_order_stat_support	0.041549	1.136231	-0.035675	0.126043	0	not_ready_high_variance	p50_ci_width_0.0508_gt_0.0500;block_median_ratio_1.1362_gt_1.1000;drift_-0.0357_gt_0.0300;persistent_drift_-0.0357_gt_0.0300
mvfstperf	connect	iouring	loopback	1	connections_per_second	combined	40	8	330.416253	317.815262	334.595650	0.050786	308.551128	342.752899	1.110846	298.216295	265.735643	insufficient_order_stat_support	0.041549	1.136231	-0.035675	0.126043	0	not_ready_high_variance	p50_ci_width_0.0508_gt_0.0500;block_median_ratio_1.1362_gt_1.1000;drift_-0.0357_gt_0.0300;persistent_drift_-0.0357_gt_0.0300
mvfstperf	connect	syscall	loopback	1	connections_per_second	discovery	30	6	310.086991	269.915301	316.087235	0.148900	286.897805	318.638373	1.110634	251.419820	227.108544	insufficient_order_stat_support	0.036024	1.293773	0.048511	0.645596	0	not_ready_high_variance	p50_ci_width_0.1489_gt_0.0500;block_median_ratio_1.2938_gt_1.1000;drift_0.0485_gt_0.0300;severe_block_median_ratio_1.2938_gt_1.2500
mvfstperf	connect	syscall	loopback	1	connections_per_second	combined	30	6	310.086991	269.915301	316.087235	0.148900	286.897805	318.638373	1.110634	251.419820	227.108544	insufficient_order_stat_support	0.036024	1.293773	0.048511	0.645596	0	not_ready_high_variance	p50_ci_width_0.1489_gt_0.0500;block_median_ratio_1.2938_gt_1.1000;drift_0.0485_gt_0.0300;severe_block_median_ratio_1.2938_gt_1.2500
mvfstperf	download	iouring	loopback	1	throughput_gbps	discovery	65	13	3.612616	3.547252	3.663225	0.032102	3.476267	3.728763	1.072634	3.343709	3.179324	insufficient_order_stat_support	0.027290	1.109896	-0.034898	0.085107	0	not_ready_high_variance	p50_ci_width_0.0321_gt_0.0300;block_median_ratio_1.1099_gt_1.1000;drift_-0.0349_gt_0.0300;persistent_drift_-0.0349_gt_0.0300
mvfstperf	download	iouring	loopback	1	throughput_gbps	combined	65	13	3.612616	3.547252	3.663225	0.032102	3.476267	3.728763	1.072634	3.343709	3.179324	insufficient_order_stat_support	0.027290	1.109896	-0.034898	0.085107	0	not_ready_high_variance	p50_ci_width_0.0321_gt_0.0300;block_median_ratio_1.1099_gt_1.1000;drift_-0.0349_gt_0.0300;persistent_drift_-0.0349_gt_0.0300
