logical_trial_id	planned_trial_id	committed_trial_id	session	planned_microblock_id	cell_id	server	reference_client	server_backend	scenario	path_profile	outcome	validity_reasons
d7bca2113d14436d5b8075fe8a9a68b44dc2367f9acb2ca5e186b682eb5b5d08	8f86d323ec03b8fd906ef704913dd0c7a718e1ccf66b3a51198b71f79d3fc6e9	8f86d323ec03b8fd906ef704913dd0c7a718e1ccf66b3a51198b71f79d3fc6e9	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	818d8c9934b5529db50a46cc3b43d469ea5dadacf900e5f8e440f52153934e17	noqperf	ngtcp2perf	iouring	download	loopback	valid	
44905c8c1f8fc99da424bd98e5d8579263e986d84d85d930a30d9dc3ba317e85	a16add7e15401f7f96f547a42e9fabb489cebc723e425e10cebcd45843741564	a16add7e15401f7f96f547a42e9fabb489cebc723e425e10cebcd45843741564	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	f6ab524ffcb93bd8203bb82ae50b7e07980632f45ab7521e0667df6b2bcc311b	lsperf	ngtcp2perf	iouring	download	loopback	valid	
5f54052d700d3e41f2f2b25c83d3ac4b0b306458c3ae07457731f9183652c18d	7892893e3f0f79215f6efa654410986b8f31900e7bf9d7df6c5b436edb16ac14	7892893e3f0f79215f6efa654410986b8f31900e7bf9d7df6c5b436edb16ac14	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	27305180f6540e3060c195676c5b6e6599124ea210462c98d8af69a210632f39	quiczigperf	ngtcp2perf	iouring	download	loopback	valid	
50623940f619cd3ffebff68ef41291954f30e603dfaaddd44e3d74b4f2b39e98	e42b00c52c46a768b2d9d9c51fbe14ae1f4af4ec120717aeb72d18806ae37f6b	e42b00c52c46a768b2d9d9c51fbe14ae1f4af4ec120717aeb72d18806ae37f6b	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	bee0d98539c8bb194dfa8492ba089f4f4e01a25766f2bad57fe468de7aeebb97	ngtcp2perf	ngtcp2perf	iouring	download	loopback	valid	
038d79b85debf0b42e19f3c810d7fe616a4a8b0dfc4cce124584f620e0f33540	f244a4a8a8e72b93d1d0152b42b7fc118be3b7eb04df0f5b607e792845ca792f	f244a4a8a8e72b93d1d0152b42b7fc118be3b7eb04df0f5b607e792845ca792f	1	35696fc13b44349030644e188be658ff9edf5a81c6213731fa16070c839d881e	e1cc24bd498746b2a5d38652ba7e58ddcb8a80e8b2103655825610ae13c8ffd3	mvfstperf	ngtcp2perf	iouring	download	loopback	valid	
fc103c73102226751d6c30ae9d498c20dc0aeff1cde9d940b734a6744003354f	4f450f9b249110d2b2e2ce63d04db8726efa34562ec65f0b61399f62ec8dedf4	4f450f9b249110d2b2e2ce63d04db8726efa34562ec65f0b61399f62ec8dedf4	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	ba25e23a60f740fb3e38be625ab8d906a457f98a8d0acf79bff480d659446146	quinnperf	picoperf	iouring	download	loopback	valid	
fff92204952fad1979b93cbde191ecc4c2061b85830451f91c5a2f4fcdd69bd8	50c4a97b5089b0057a55590f8870fc760c54a04e4f38db82a7abc6fd689e502c	50c4a97b5089b0057a55590f8870fc760c54a04e4f38db82a7abc6fd689e502c	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	a7abd62388dfc49306822c8da2f669cfb0b63de67ebb82c3575f07c1fb53ef73	s2nperf	picoperf	iouring	download	loopback	valid	
364827cc8fce595133dfa52bd58cd56cdaef69185a12168f21082854bbfa98be	5cb8aa9cf56b2f3e27c5d51093ce5acbc8224644a3ae17f1ec6699135af88c10	5cb8aa9cf56b2f3e27c5d51093ce5acbc8224644a3ae17f1ec6699135af88c10	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	782a5dc44a6415e0d67ab4d9e9a012a1e945eaa59196587d6f06cc2bc8b0dc75	xquicperf	picoperf	iouring	download	loopback	valid	
9b7a50a84db49be6ab318266ae02fcaa0dd8497fa69d8fc386f29da5bb023825	acbccd9bad01325da2f7d84a8bcb1ce0540f107b6a9c1bb2e443f92f2c43ff86	acbccd9bad01325da2f7d84a8bcb1ce0540f107b6a9c1bb2e443f92f2c43ff86	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	c3384bf6709ca7fc94142792d99e2662c7e273e606145499a97a3e47d359aa58	neqoperf	picoperf	iouring	download	loopback	valid	
016183a253c6d653581f23049f470969313c9a3b28591a133ba2b585dfd46936	5447ab74399232dab0ce4c04eed37e83b21456039082fd9c84b5f419c4708a39	5447ab74399232dab0ce4c04eed37e83b21456039082fd9c84b5f419c4708a39	1	493138e1527454d0048860c06422432cbcefb9707648c0c3642ce740960ad08c	e73c382ef48d322eacdc974fcdc467a9773c9e68c65a5cc61c34b14fa34f1d4c	picoperf	picoperf	iouring	download	loopback	valid	
