estimand	server	server_backend	scenario	path_profile	phase	load	metric	planned	committed	valid	geometric_mean	status	quality_labels
fixed_treatment_server	quiczigperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	848082745.65944469	complete	
fixed_treatment_server	quiczigperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	1328.9796846289453	complete	
fixed_treatment_server	quiczigperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	1697.7022180696717	complete	
fixed_treatment_server	quiczigperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	149355.81755725489	complete	
fixed_treatment_server	quiczigperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	1042954334.570698	complete	
fixed_treatment_server	quiczigperf	iouring	flow_control	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	519156254.56288612	complete	
fixed_treatment_server	quiczigperf	iouring	loss_recovery	loss_recovery_v1	confirmatory	16	validated_body_bits_per_second	24	24	24	121127923.89009526	complete	
fixed_treatment_server	quiczigperf	iouring	multistream_download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	659239691.98941302	complete	
fixed_treatment_server	quiczigperf	iouring	multistream_upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	408577484.76460588	complete	
fixed_treatment_server	quiczigperf	iouring	reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	2143.8035395972288	complete	
fixed_treatment_server	quiczigperf	iouring	resumed_connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	1782.2339507715612	complete	
fixed_treatment_server	quiczigperf	iouring	small_payload_pps	loopback	confirmatory	16	validated_operations_per_second	24	24	24	119638.76724362504	complete	
fixed_treatment_server	quiczigperf	iouring	stream_churn	loopback	confirmatory	16	validated_operations_per_second	24	24	24	2134.6548060659593	complete	
fixed_treatment_server	quiczigperf	iouring	upload	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	590267192.77041328	complete	
fixed_treatment_server	quiczigperf	iouring	zero_rtt_reqresp	loopback	confirmatory	16	validated_operations_per_second	24	24	24	1610.5102944460059	complete	
fixed_treatment_server	quinnperf	iouring	bidi	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	524081448.32925349	complete	
fixed_treatment_server	quinnperf	iouring	close_reset_cleanup	loopback	confirmatory	16	cleanup_geometric_mean_operations_per_second	24	24	24	215.91177375563282	complete	
fixed_treatment_server	quinnperf	iouring	connect	loopback	confirmatory	16	validated_operations_per_second	24	24	24	451.60598351083848	complete	
fixed_treatment_server	quinnperf	iouring	datagram	loopback	confirmatory	16	validated_operations_per_second	24	24	24	92494.137934448896	complete	
fixed_treatment_server	quinnperf	iouring	download	loopback	confirmatory	16	validated_body_bits_per_second	24	24	24	700332725.02026081	complete	
