binary	scenario	network	path_profile	adapter_features	congestion_controller	measurement_status	audit_status	publication_status	metric	selected_threads	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p90	p99	p99_status	reason
neqoperf	reqresp	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	12154.000000	12100.000000	12189.000000	0.007323	12017.050000	11919.760000	insufficient_order_stat_support	
neqoperf	reqresp	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	12230.000000	12161.750000	12281.500000	0.009791	12094.500000	12029.475000	insufficient_order_stat_support	
neqoperf	stream_churn	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	12174.500000	12155.750000	12218.500000	0.005154	12100.450000	12081.370000	insufficient_order_stat_support	
neqoperf	stream_churn	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	streams_per_second	4	duration	2000		20	5	12286.250000	12261.500000	12309.750000	0.003927	12177.250000	12079.015000	insufficient_order_stat_support	
neqoperf	multistream_download	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	2.777153	2.752512	2.831155	0.028318	2.705326	2.679846	insufficient_order_stat_support	
neqoperf	multistream_download	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	2.508194	2.494038	2.511340	0.006898	2.479253	2.469344	insufficient_order_stat_support	
neqoperf	multistream_upload	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	2000		20	5	3.335520	3.309306	3.358589	0.014775	3.186413	3.151306	insufficient_order_stat_support	
neqoperf	multistream_upload	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	2000		20	5	3.192913	3.170894	3.225420	0.017077	3.019270	3.005114	insufficient_order_stat_support	
neqoperf	bidi	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	3.305636	3.286237	3.328181	0.012688	3.246601	3.238202	insufficient_order_stat_support	
neqoperf	bidi	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	3.267888	3.258450	3.305751	0.014475	3.228775	3.215497	insufficient_order_stat_support	
neqoperf	small_payload_pps	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	messages_per_second	4	duration	2000		20	5	12211.500000	12164.250000	12245.500000	0.006654	12088.600000	12050.980000	insufficient_order_stat_support	
neqoperf	small_payload_pps	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	messages_per_second	4	duration	2000		20	5	12237.000000	12203.000000	12267.000000	0.005230	12114.600000	12015.645000	insufficient_order_stat_support	
neqoperf	loss_recovery	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	5000		20	5	5.860110	5.767409	5.888346	0.020637	5.742005	5.708258	insufficient_order_stat_support	
neqoperf	loss_recovery	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	5000		20	5	5.715147	5.651312	5.741446	0.015771	5.614005	5.480692	insufficient_order_stat_support	
neqoperf	flow_control	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	1	duration	2000		20	5	4.794643	4.759852	4.871596	0.023306	4.713939	4.646063	insufficient_order_stat_support	
neqoperf	flow_control	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	throughput_gbps	2	duration	2000		20	5	5.562979	5.488730	5.581527	0.016681	5.427549	5.150829	insufficient_order_stat_support	
neqoperf	resumed_connect	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		2	20	5	14.313711	14.301992	14.334082	0.002242	14.276239	14.190235	insufficient_order_stat_support	
neqoperf	resumed_connect	iouring	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	connections_per_second	16	work		2	20	5	14.765299	14.732445	14.801197	0.004656	14.635157	14.549366	insufficient_order_stat_support	
neqoperf	zero_rtt_reqresp	syscall	loopback	cc=cubic|sans_io=neqo-transport|cpp_networkhub=on|runtime=none|tls_verify=config_chain_preflight|udp_gso=common_cpp|udp_gro=on	cubic	complete	tail_insufficient	publishable	requests_per_second	4	duration	2000		20	5	10569.000000	10557.000000	10598.750000	0.003950	10401.700000	10334.830000	insufficient_order_stat_support	
