scenario	network	path_profile	metric	binary_a	binary_b	a_p50	b_p50	a_vs_b_median_ratio	a_vs_b_ci95_low	a_vs_b_ci95_high	relation
zero_rtt_reqresp	iouring	loopback	requests_per_second	mvfstperf	xquicperf	10527.000000	18138.750000	0.580360	0.578451	0.582689	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	ngtcp2perf	10783.250000	41830.750000	0.257783	0.256547	0.259977	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	noqperf	10783.250000	32764.500000	0.329114	0.328053	0.331227	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	picoperf	10783.250000	30601.750000	0.352374	0.348588	0.357181	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	quicheperf	10783.250000	46529.000000	0.231753	0.230712	0.234814	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	quiczigperf	10783.250000	3666.500000	2.941020	2.925116	2.965366	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	quinnperf	10783.250000	32764.750000	0.329111	0.328048	0.331227	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	s2nperf	10783.250000	43378.500000	0.248585	0.246851	0.251296	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	tquicperf	10783.250000	152698.000000	0.070618	0.069824	0.071300	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	neqoperf	xquicperf	10783.250000	18138.750000	0.594487	0.591656	0.599329	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	noqperf	41830.750000	32764.500000	1.276710	1.272765	1.280013	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	picoperf	41830.750000	30601.750000	1.366940	1.351245	1.380265	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	quicheperf	41830.750000	46529.000000	0.899025	0.895112	0.908211	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	quiczigperf	41830.750000	3666.500000	11.408905	11.355822	11.459526	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	quinnperf	41830.750000	32764.750000	1.276700	1.272745	1.280013	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	s2nperf	41830.750000	43378.500000	0.964320	0.957607	0.971614	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	tquicperf	41830.750000	152698.000000	0.273944	0.270778	0.275524	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	ngtcp2perf	xquicperf	41830.750000	18138.750000	2.306154	2.296034	2.317360	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	noqperf	picoperf	32764.500000	30601.750000	1.070674	1.060580	1.079182	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	noqperf	quicheperf	32764.500000	46529.000000	0.704174	0.703007	0.710642	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	noqperf	quiczigperf	32764.500000	3666.500000	8.936179	8.913085	8.970431	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	noqperf	quinnperf	32764.500000	32764.750000	0.999992	0.999985	1.000008	statistical_tie
zero_rtt_reqresp	iouring	loopback	requests_per_second	noqperf	s2nperf	32764.500000	43378.500000	0.755317	0.751617	0.760321	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	noqperf	tquicperf	32764.500000	152698.000000	0.214571	0.212231	0.215588	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	noqperf	xquicperf	32764.500000	18138.750000	1.806326	1.800940	1.813575	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	picoperf	quicheperf	30601.750000	46529.000000	0.657692	0.651660	0.667767	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	picoperf	quiczigperf	30601.750000	3666.500000	8.346311	8.262310	8.439557	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	picoperf	quinnperf	30601.750000	32764.750000	0.933984	0.926614	0.942880	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	picoperf	s2nperf	30601.750000	43378.500000	0.705459	0.697043	0.714449	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	picoperf	tquicperf	30601.750000	152698.000000	0.200407	0.197321	0.202805	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	picoperf	xquicperf	30601.750000	18138.750000	1.687093	1.671673	1.705558	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	quicheperf	quiczigperf	46529.000000	3666.500000	12.690304	12.554255	12.741146	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	quicheperf	quinnperf	46529.000000	32764.750000	1.420093	1.407157	1.422462	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	quicheperf	s2nperf	46529.000000	43378.500000	1.072628	1.059154	1.081104	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	quicheperf	tquicperf	46529.000000	152698.000000	0.304713	0.300735	0.306545	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	quicheperf	xquicperf	46529.000000	18138.750000	2.565171	2.539478	2.578731	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	quiczigperf	quinnperf	3666.500000	32764.750000	0.111904	0.111477	0.112195	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	quiczigperf	s2nperf	3666.500000	43378.500000	0.084523	0.083955	0.085194	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	quiczigperf	tquicperf	3666.500000	152698.000000	0.024011	0.023748	0.024166	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	quiczigperf	xquicperf	3666.500000	18138.750000	0.202136	0.201204	0.203148	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	quinnperf	s2nperf	32764.750000	43378.500000	0.755322	0.751617	0.760332	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	quinnperf	tquicperf	32764.750000	152698.000000	0.214572	0.212233	0.215591	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	quinnperf	xquicperf	32764.750000	18138.750000	1.806340	1.800954	1.813603	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	s2nperf	tquicperf	43378.500000	152698.000000	0.284080	0.280983	0.286568	loss
zero_rtt_reqresp	iouring	loopback	requests_per_second	s2nperf	xquicperf	43378.500000	18138.750000	2.391482	2.374006	2.407818	win
zero_rtt_reqresp	iouring	loopback	requests_per_second	tquicperf	xquicperf	152698.000000	18138.750000	8.418331	8.365580	8.514049	win
