binary	scenario	network	path_profile	client_threads	metric	mode	duration_ms	work_units	samples	blocks	p50	p50_ci95_low	p50_ci95_high	p50_ci95_relative_width	p20	p80	p20_p80_ratio	p90	p99	p99_status	block_median_ratio	drift_relative	outlier_count	measurement_status	audit_status	publication_status	reason
lsperf	multistream_download	syscall	loopback	16	throughput_gbps	duration	2000		20	5	1.543504	1.543504	1.543504	0.000000	1.543504	1.543504	1.000000	1.543504	1.543504	insufficient_order_stat_support	1.000000	0.000000	0	complete	tail_insufficient	publishable	
lsperf	multistream_download	iouring	loopback	16	throughput_gbps	duration	2000		20	5	0.434300	0.396970	0.481713	0.195125	0.296246	0.520040	1.755431	0.271784	0.257783	insufficient_order_stat_support	1.413142	0.097399	0	complete	noisy	inconclusive	p50_ci_width_0.1951_gt_0.0300;p80_p20_1.7554_gt_1.1500;block_median_ratio_1.4131_gt_1.1000;drift_0.0974_gt_0.0300
lsperf	multistream_upload	syscall	loopback	16	throughput_gbps	duration	2000		20	5	1.543504	1.543504	1.543504	0.000000	1.543504	1.543504	1.000000	1.543504	1.543504	insufficient_order_stat_support	1.000000	0.000000	0	complete	tail_insufficient	publishable	
lsperf	multistream_upload	iouring	loopback	16	throughput_gbps	duration	2000		20	5	1.543504	1.543504	1.543504	0.000000	1.543504	1.543504	1.000000	1.543504	1.543504	insufficient_order_stat_support	1.000000	0.000000	0	complete	tail_insufficient	publishable	
lsperf	bidi	syscall	loopback	16	throughput_gbps	duration	2000		20	5	2.147484	2.147484	2.147484	0.000000	2.147484	2.147484	1.000000	2.147484	2.147484	insufficient_order_stat_support	1.000000	0.000000	0	complete	tail_insufficient	publishable	
lsperf	bidi	iouring	loopback	8	throughput_gbps	duration	2000		20	5	1.073742	1.073742	1.073742	0.000000	1.073742	1.073742	1.000000	1.073742	1.073742	insufficient_order_stat_support	1.000000	0.000000	0	complete	tail_insufficient	publishable	
lsperf	small_payload_pps	syscall	loopback	16	messages_per_second	duration	2000		20	5	121891.000000	121463.000000	122276.000000	0.006670	120297.600000	123028.000000	1.022697	119451.500000	118643.480000	insufficient_order_stat_support	1.009758	-0.003847	0	complete	tail_insufficient	publishable	
lsperf	small_payload_pps	iouring	loopback	16	messages_per_second	duration	2000		20	5	71088.000000	70992.000000	71492.000000	0.007034	70805.600000	71583.200000	1.010982	70754.400000	70108.200000	insufficient_order_stat_support	1.010099	-0.005682	0	complete	tail_insufficient	publishable	
lsperf	loss_recovery	syscall	loopback	1	throughput_gbps	duration	5000		20	5	18.342157	17.479674	18.860536	0.075284	17.269308	19.448639	1.126197	17.079530	16.576545	insufficient_order_stat_support	1.114411	-0.000278	0	complete	noisy	inconclusive	block_median_ratio_1.1144_gt_1.1000
lsperf	loss_recovery	iouring	loopback	1	throughput_gbps	duration	5000		20	5	17.354458	17.307203	17.492763	0.010692	16.839482	17.654764	1.048415	16.714999	16.413780	insufficient_order_stat_support	1.017059	-0.005624	0	complete	tail_insufficient	publishable	
lsperf	flow_control	syscall	loopback	1	throughput_gbps	duration	2000		20	5	13.941133	13.221010	14.225161	0.072028	13.140659	14.605837	1.111500	12.712760	12.599601	insufficient_order_stat_support	1.120502	0.055351	0	complete	noisy	inconclusive	p50_ci_width_0.0720_gt_0.0500;block_median_ratio_1.1205_gt_1.1000;drift_0.0554_gt_0.0300
lsperf	flow_control	iouring	loopback	1	throughput_gbps	duration	2000		20	5	11.731958	11.514276	11.849415	0.028566	11.472186	11.923203	1.039314	11.385983	11.212143	insufficient_order_stat_support	1.037013	0.006206	0	complete	tail_insufficient	publishable	
lsperf	resumed_connect	syscall	loopback	1	connections_per_second	work		128	20	5	79.843801	73.637526	80.136829	0.081400	72.719566	81.091001	1.115119	71.650057	68.656122	insufficient_order_stat_support	1.101429	-0.064463	0	complete	noisy	inconclusive	p50_ci_width_0.0814_gt_0.0500;block_median_ratio_1.1014_gt_1.1000;drift_-0.0645_gt_0.0300
